iter	Passed	Remaining
0	1	211
1	2	201
2	3	203
3	5	199
4	6	192
5	7	187
6	8	181
7	9	179
8	10	176
9	11	173
10	12	170
11	13	167
12	14	164
13	15	163
14	16	161
15	17	159
16	18	157
17	19	155
18	20	154
19	21	152
20	23	152
21	24	151
22	25	150
23	26	148
24	27	146
25	28	145
26	29	144
27	30	142
28	31	141
29	32	140
30	33	139
31	34	138
32	35	136
33	36	136
34	37	135
35	38	133
36	39	132
37	40	131
38	41	130
39	43	129
40	44	127
41	45	126
42	46	125
43	47	124
44	48	123
45	49	122
46	50	121
47	51	120
48	52	119
49	53	118
50	54	117
51	55	115
52	56	114
53	57	113
54	58	112
55	59	111
56	60	110
57	61	108
58	62	107
59	64	106
60	65	105
61	66	104
62	67	103
63	68	102
64	69	101
65	70	100
66	71	99
67	72	98
68	73	97
69	74	95
70	75	94
71	76	93
72	77	92
73	78	91
74	79	90
75	80	89
76	81	88
77	82	87
78	84	86
79	84	84
80	85	83
81	87	82
82	88	81
83	89	80
84	90	79
85	91	78
86	92	77
87	93	76
88	94	75
89	95	73
90	96	72
91	97	71
92	98	70
93	99	69
94	100	68
95	101	67
96	102	66
97	103	65
98	104	64
99	105	63
100	106	62
101	107	61
102	108	60
103	109	59
104	110	58
105	112	57
106	113	56
107	114	54
108	115	53
109	116	52
110	117	51
111	118	50
112	119	49
113	120	48
114	121	47
115	122	46
116	123	45
117	124	44
118	125	43
119	126	42
120	127	41
121	128	40
122	129	39
123	131	38
124	131	36
125	133	35
126	134	34
127	135	33
128	136	32
129	137	31
130	138	30
131	139	29
132	140	28
133	141	27
134	142	26
135	143	25
136	144	24
137	145	23
138	146	22
139	147	21
140	148	20
141	149	18
142	150	17
143	151	16
144	152	15
145	154	14
146	155	13
147	156	12
148	157	11
149	158	10
150	159	9
151	160	8
152	161	7
153	162	6
154	163	5
155	164	4
156	165	3
157	166	2
158	167	1
159	168	0
